,date,open,high,low,close,volume
0,2021-08-11,0.11496,0.15,0.089,0.11598,471951119.0
1,2021-08-12,0.11599,0.16459,0.10121,0.1111,1081087884.0
2,2021-08-13,0.11142,0.11549,0.09569,0.09909,327855010.0
3,2021-08-14,0.09906,0.10449,0.08942,0.0919,153304163.0
4,2021-08-15,0.09166,0.09299,0.08122,0.08593,147110381.0
5,2021-08-16,0.08603,0.1025,0.08377,0.08694,241899319.0
6,2021-08-17,0.08682,0.0894,0.07519,0.07638,91453737.0
7,2021-08-18,0.07633,0.08185,0.0712,0.07632,77745098.0
8,2021-08-19,0.07639,0.08599,0.07549,0.08132,114693913.0
9,2021-08-20,0.08123,0.08649,0.0805,0.08269,105678678.0
10,2021-08-21,0.08262,0.08493,0.07883,0.07978,75627925.0
11,2021-08-22,0.07975,0.08339,0.0775,0.08013,71345405.0
12,2021-08-23,0.08014,0.083,0.07852,0.0802,107096660.0
13,2021-08-24,0.08044,0.08106,0.07014,0.07215,106485270.0
14,2021-08-25,0.07185,0.07637,0.07007,0.07415,78100063.0
15,2021-08-26,0.07429,0.08026,0.06873,0.07265,148666805.0
16,2021-08-27,0.07276,0.09199,0.07128,0.0849,476663687.0
17,2021-08-28,0.0849,0.08558,0.0794,0.0809,93258239.0
18,2021-08-29,0.0808,0.08215,0.07607,0.07833,102216640.0
19,2021-08-30,0.07841,0.084,0.07251,0.07299,111144102.0
20,2021-08-31,0.07301,0.07549,0.07151,0.07281,49591680.0
21,2021-09-01,0.07289,0.07546,0.071,0.07449,55481621.0
22,2021-09-02,0.07447,0.07758,0.07261,0.07529,78781469.0
23,2021-09-03,0.075,0.07703,0.07312,0.07435,63323608.0
24,2021-09-04,0.07441,0.08899,0.0734,0.08082,236229754.0
25,2021-09-05,0.08081,0.09122,0.07945,0.08351,215038632.0
26,2021-09-06,0.08343,0.0849,0.075,0.07946,132408137.0
27,2021-09-07,0.07947,0.08147,0.05881,0.06681,156552871.0
28,2021-09-08,0.06649,0.073,0.058,0.06497,107189827.0
29,2021-09-09,0.06594,0.07342,0.06446,0.06622,146365425.0
30,2021-09-10,0.06612,0.06861,0.06012,0.06174,76515835.0
31,2021-09-11,0.06178,0.06751,0.06075,0.06226,71073855.0
32,2021-09-12,0.06227,0.0672,0.06123,0.06561,67269493.0
33,2021-09-13,0.06561,0.06644,0.05817,0.06096,59393718.0
34,2021-09-14,0.06099,0.06355,0.05997,0.06248,59809319.0
35,2021-09-15,0.06251,0.0699,0.06171,0.0662,116014743.0
36,2021-09-16,0.06619,0.06964,0.06304,0.06553,106275449.0
37,2021-09-17,0.06552,0.06919,0.06229,0.06407,85062625.0
38,2021-09-18,0.0641,0.06615,0.06264,0.06427,38805271.0
39,2021-09-19,0.06433,0.0657,0.06138,0.06216,51055048.0
40,2021-09-20,0.06212,0.06228,0.05047,0.05369,95734397.0
41,2021-09-21,0.05371,0.05732,0.04806,0.04961,66941054.0
42,2021-09-22,0.04968,0.05576,0.04875,0.05547,42366742.0
43,2021-09-23,0.05543,0.05777,0.05341,0.05704,48266436.0
44,2021-09-24,0.05703,0.05738,0.0491,0.05186,61327613.0
45,2021-09-25,0.05189,0.07,0.04993,0.06728,367448529.0
46,2021-09-26,0.06718,0.07588,0.06444,0.06535,380726074.0
47,2021-09-27,0.06551,0.06676,0.05991,0.06025,265775439.0
48,2021-09-28,0.06023,0.06295,0.056,0.05634,86341804.0
49,2021-09-29,0.05616,0.06194,0.0558,0.06025,65069507.0
50,2021-09-30,0.06025,0.06529,0.05932,0.06036,109464846.0
51,2021-10-01,0.06028,0.06542,0.05933,0.06396,68254988.0
52,2021-10-02,0.06391,0.067,0.0623,0.0633,59254973.0
53,2021-10-03,0.06322,0.06508,0.06139,0.06421,55118755.0
54,2021-10-04,0.06416,0.06504,0.06015,0.0621,68108414.0
55,2021-10-05,0.06212,0.06631,0.06137,0.06514,82087985.0
56,2021-10-06,0.06515,0.08486,0.06514,0.07336,613060307.0
57,2021-10-07,0.07327,0.07415,0.0687,0.069,180728754.0
58,2021-10-08,0.06904,0.07131,0.06751,0.06802,77770045.0
59,2021-10-09,0.06807,0.07406,0.06705,0.07276,93758888.0
60,2021-10-10,0.07268,0.07783,0.06969,0.07018,173895956.0
61,2021-10-11,0.07013,0.07672,0.0686,0.07163,121902163.0
62,2021-10-12,0.0715,0.07385,0.06548,0.06831,83817700.0
63,2021-10-13,0.06825,0.07017,0.06621,0.06783,82451134.0
64,2021-10-14,0.0679,0.07076,0.06728,0.06983,52651123.0
65,2021-10-15,0.06981,0.07081,0.06625,0.06896,94007628.0
66,2021-10-16,0.06898,0.07341,0.06766,0.07083,98472867.0
67,2021-10-17,0.07099,0.07343,0.0631,0.066,64119646.0
68,2021-10-18,0.06611,0.07031,0.06523,0.06692,70589787.0
69,2021-10-19,0.067,0.07221,0.06647,0.06785,102893214.0
70,2021-10-20,0.06783,0.07069,0.06661,0.07012,60538811.0
71,2021-10-21,0.07006,0.07278,0.06677,0.06704,56269408.0
72,2021-10-22,0.06703,0.0692,0.06639,0.068,32823700.0
73,2021-10-23,0.06803,0.06818,0.06605,0.06735,30122588.0
74,2021-10-24,0.06733,0.06776,0.0637,0.06593,44416320.0
75,2021-10-25,0.06586,0.06848,0.06565,0.06706,45391081.0
76,2021-10-26,0.0671,0.06878,0.06573,0.06653,63860478.0
77,2021-10-27,0.06662,0.07278,0.05602,0.05824,156125122.0
78,2021-10-28,0.05836,0.06852,0.05802,0.06295,130245324.0
79,2021-10-29,0.0629,0.06751,0.06254,0.06687,55630878.0
80,2021-10-30,0.06687,0.06994,0.06307,0.06651,154280213.0
81,2021-10-31,0.06645,0.077,0.06612,0.07217,270689413.0
82,2021-11-01,0.07221,0.07471,0.06705,0.07057,69590816.0
83,2021-11-02,0.07047,0.0788,0.06882,0.07822,123690882.0
84,2021-11-03,0.07822,0.39499,0.07664,0.21586,2178405323.0
85,2021-11-04,0.21997,0.498,0.185,0.35979,2083688474.0
86,2021-11-05,0.3598,0.37,0.18,0.19981,840528546.0
87,2021-11-06,0.19936,0.21969,0.18001,0.18681,265323791.0
88,2021-11-07,0.18669,0.20768,0.16804,0.1775,169638043.0
89,2021-11-08,0.17748,0.18,0.15591,0.1566,190946714.0
90,2021-11-09,0.1566,0.299,0.15508,0.28159,816478433.0
91,2021-11-10,0.28159,0.44,0.2666,0.37547,1198792572.0
92,2021-11-11,0.37549,0.385,0.281,0.28171,384562051.0
93,2021-11-12,0.28182,0.3375,0.261,0.32706,281711342.0
94,2021-11-13,0.32551,0.3755,0.28669,0.32523,322957331.0
95,2021-11-14,0.32549,0.355,0.30512,0.32985,153802026.0
96,2021-11-15,0.32994,0.33113,0.29335,0.30001,104211225.0
97,2021-11-16,0.3,0.3325,0.26262,0.30067,147302852.0
98,2021-11-17,0.30017,0.30737,0.2568,0.26453,144901160.0
99,2021-11-18,0.26393,0.27933,0.217,0.21999,149517654.0
100,2021-11-19,0.22,0.28888,0.21853,0.24243,132196301.0
101,2021-11-20,0.24243,0.28,0.24234,0.2543,71928444.0
102,2021-11-21,0.2543,0.26627,0.22956,0.24926,82736798.0
103,2021-11-22,0.24975,0.24999,0.22603,0.22965,61230521.0
104,2021-11-23,0.23,0.24,0.2205,0.22621,65213005.0
105,2021-11-24,0.22604,0.2264,0.19501,0.20508,76262973.0
106,2021-11-25,0.20551,0.238,0.19237,0.21678,93343793.0
107,2021-11-26,0.21685,0.2225,0.18498,0.19584,60979016.0
108,2021-11-27,0.19615,0.2358,0.19275,0.20039,76521515.0
109,2021-11-28,0.20015,0.23124,0.19406,0.20428,72656730.0
110,2021-11-29,0.20401,0.21326,0.19817,0.20001,36010501.0
111,2021-11-30,0.2,0.20681,0.188,0.19441,42576574.0
112,2021-12-01,0.19442,0.235,0.19129,0.2296,83799269.0
113,2021-12-02,0.23,0.28801,0.20181,0.21731,282678774.0
114,2021-12-03,0.21728,0.24752,0.20515,0.2075,105212223.0
115,2021-12-04,0.20776,0.21,0.1666,0.18937,74960538.0
116,2021-12-05,0.18961,0.19006,0.17436,0.17853,30350537.0
117,2021-12-06,0.17863,0.19241,0.16608,0.1849,42083386.0
118,2021-12-07,0.18492,0.18781,0.17483,0.177,23984784.0
119,2021-12-08,0.17721,0.188,0.1712,0.17848,21137741.0
120,2021-12-09,0.17806,0.18229,0.16,0.16584,33437263.0
121,2021-12-10,0.16584,0.17188,0.15482,0.157,37990845.0
122,2021-12-11,0.15697,0.16129,0.15327,0.1562,20751635.0
123,2021-12-12,0.15621,0.16171,0.15213,0.15565,25383869.0
124,2021-12-13,0.15565,0.15593,0.13263,0.13599,33225752.0
125,2021-12-14,0.13599,0.19,0.13598,0.16594,106932068.0
126,2021-12-15,0.16624,0.22395,0.15654,0.17811,185380273.0
127,2021-12-16,0.17812,0.18363,0.16411,0.16505,41780175.0
128,2021-12-17,0.16556,0.17895,0.1542,0.15622,32980187.0
129,2021-12-18,0.15597,0.16249,0.154,0.155,17555222.0
130,2021-12-19,0.155,0.15623,0.14721,0.15042,21633817.0
131,2021-12-20,0.15018,0.16,0.1425,0.155,32315624.0
132,2021-12-21,0.155,0.16333,0.14525,0.15941,27118503.0
133,2021-12-22,0.15941,0.1595,0.152,0.1528,20437492.0
134,2021-12-23,0.15279,0.17202,0.14849,0.1634,47109041.0
135,2021-12-24,0.16337,0.185,0.16092,0.16565,49302914.0
136,2021-12-25,0.16566,0.17703,0.16417,0.16602,15948793.0
137,2021-12-26,0.16612,0.16781,0.16325,0.16522,12752979.0
138,2021-12-27,0.16517,0.1731,0.16337,0.16753,17973683.0
139,2021-12-28,0.16771,0.16774,0.14671,0.15442,19570788.0
140,2021-12-29,0.15517,0.15775,0.14589,0.14675,11615604.0
141,2021-12-30,0.14691,0.15287,0.1428,0.15003,14409399.0
142,2021-12-31,0.15003,0.1557,0.145,0.14796,17633288.0
143,2022-01-01,0.14803,0.159,0.14548,0.15555,21477513.0
144,2022-01-02,0.1552,0.15784,0.15005,0.15244,11860000.0
145,2022-01-03,0.15241,0.15375,0.14544,0.1476,12778042.0
146,2022-01-04,0.1476,0.14937,0.1439,0.14428,9882896.0
147,2022-01-05,0.144,0.157,0.133,0.139,21831727.0
148,2022-01-06,0.13902,0.13935,0.13111,0.13687,14702232.0
149,2022-01-07,0.13695,0.13721,0.125,0.12707,11989901.0
150,2022-01-08,0.12803,0.13348,0.1147,0.12283,14951423.0
151,2022-01-09,0.12285,0.145,0.12073,0.131,21624049.0
152,2022-01-10,0.13101,0.1485,0.11931,0.12423,28774388.0
153,2022-01-11,0.12442,0.13311,0.12432,0.12851,10352050.0
154,2022-01-12,0.12851,0.13658,0.128,0.1315,11647411.0
155,2022-01-13,0.13169,0.13329,0.12281,0.12502,8056131.0
156,2022-01-14,0.12514,0.12766,0.123,0.12571,9034344.0
157,2022-01-15,0.12567,0.135,0.1245,0.12536,11313143.0
158,2022-01-16,0.12524,0.13188,0.125,0.12706,7511802.0
159,2022-01-17,0.127,0.12927,0.12217,0.12251,8303366.0
160,2022-01-18,0.12247,0.1237,0.11092,0.11572,32154399.0
161,2022-01-19,0.11606,0.11918,0.11018,0.11218,15585800.0
162,2022-01-20,0.11236,0.12,0.10963,0.10985,11049628.0
163,2022-01-21,0.10975,0.11138,0.08562,0.09275,23905763.0
164,2022-01-22,0.09275,0.09294,0.07346,0.08192,25339512.0
165,2022-01-23,0.08214,0.13,0.08152,0.11511,79053599.0
166,2022-01-24,0.11541,0.12324,0.08804,0.10662,38556226.0
167,2022-01-25,0.1064,0.10727,0.09219,0.10004,22670277.0
168,2022-01-26,0.10016,0.10295,0.09211,0.09589,17170583.0
169,2022-01-27,0.09588,0.097,0.08608,0.09166,12241695.0
170,2022-01-28,0.09165,0.09387,0.08922,0.09086,8450077.0
171,2022-01-29,0.09102,0.09542,0.0903,0.09382,9852791.0
172,2022-01-30,0.09394,0.09452,0.08899,0.09025,7709593.0
173,2022-01-31,0.09016,0.09193,0.08893,0.09042,9623850.0
174,2022-02-01,0.09041,0.09519,0.0899,0.09271,11636084.0
175,2022-02-02,0.0927,0.094,0.08677,0.08778,10732021.0
176,2022-02-03,0.08773,0.08984,0.08553,0.08638,7209544.0
177,2022-02-04,0.08598,0.09324,0.08505,0.09299,10796259.0
178,2022-02-05,0.09284,0.09809,0.09165,0.09278,14076478.0
179,2022-02-06,0.09278,0.097,0.09014,0.0924,11036471.0
180,2022-02-07,0.09249,0.12808,0.0913,0.1208,62977588.0
181,2022-02-08,0.12078,0.16025,0.11487,0.14803,151901386.0
182,2022-02-09,0.14782,0.17742,0.133,0.14342,99758555.0
183,2022-02-10,0.14346,0.14855,0.12594,0.12653,33867862.0
184,2022-02-11,0.12678,0.13828,0.11902,0.12076,23396734.0
185,2022-02-12,0.1207,0.12224,0.1175,0.1193,8264031.0
186,2022-02-13,0.11932,0.125,0.11178,0.11389,11594212.0
187,2022-02-14,0.11443,0.11714,0.11,0.11231,10316192.0
188,2022-02-15,0.11211,0.14755,0.11,0.13601,42394903.0
189,2022-02-16,0.13595,0.13629,0.1234,0.12871,16039206.0
190,2022-02-17,0.12878,0.13306,0.11382,0.11726,13283677.0
191,2022-02-18,0.1169,0.12004,0.11233,0.1138,7342347.0
192,2022-02-19,0.11357,0.119,0.11131,0.11274,9879615.0
193,2022-02-20,0.11266,0.11374,0.10737,0.10841,6020364.0
194,2022-02-21,0.10879,0.1196,0.10427,0.10466,13206473.0
195,2022-02-22,0.1044,0.10614,0.09881,0.1057,13034415.0
196,2022-02-23,0.1059,0.11253,0.1008,0.10083,10093841.0
197,2022-02-24,0.10084,0.105,0.08789,0.09911,21562621.0
198,2022-02-25,0.09909,0.1083,0.09886,0.10483,8712952.0
199,2022-02-26,0.1049,0.10999,0.102,0.10548,9225553.0
200,2022-02-27,0.10601,0.10662,0.1,0.10102,6261767.0
201,2022-02-28,0.10132,0.11,0.09796,0.10968,10952048.0
202,2022-03-01,0.10998,0.1127,0.101,0.10536,12649852.0
203,2022-03-02,0.10562,0.10959,0.10272,0.10478,5728507.0
204,2022-03-03,0.10534,0.10578,0.10006,0.10143,5239051.0
205,2022-03-04,0.10145,0.10347,0.095,0.09604,6544549.0
206,2022-03-05,0.09603,0.10643,0.0955,0.10343,8735977.0
207,2022-03-06,0.10336,0.11,0.09822,0.09872,10541019.0
208,2022-03-07,0.09875,0.1005,0.09388,0.09469,7366607.0
209,2022-03-08,0.09469,0.09886,0.09387,0.09552,5313204.0
210,2022-03-09,0.09535,0.10424,0.0948,0.09978,9856534.0
211,2022-03-10,0.09916,0.10028,0.0938,0.09532,5670024.0
212,2022-03-11,0.09532,0.09697,0.09012,0.09236,6293336.0
